# Relatório de malha — Lotus Elise 111S

Objetos de malha: 130

| Objeto | Vértices | Faces | Quads | Tris | N-gons | Non-manifold | Borda |
| GEO_Seat_Cushion_L | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Seat_Cushion_R | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Steering_Wheel | 640 | 640 | 640 | 0 | 0 | 0 | 0 |
| GEO_TailLamp_Lens_L_1 | 672 | 698 | 642 | 56 | 0 | 0 | 0 |
| GEO_TailLamp_Lens_L_2 | 672 | 698 | 642 | 56 | 0 | 0 | 0 |
| GEO_TailLamp_Lens_R_1 | 672 | 698 | 642 | 56 | 0 | 0 | 0 |
| GEO_TailLamp_Lens_R_2 | 672 | 698 | 642 | 56 | 0 | 0 | 0 |
| GEO_TailLamp_Ring_L_1 | 672 | 698 | 642 | 56 | 0 | 0 | 0 |
| GEO_TailLamp_Ring_L_2 | 672 | 698 | 642 | 56 | 0 | 0 | 0 |
| GEO_TailLamp_Ring_R_1 | 672 | 698 | 642 | 56 | 0 | 0 | 0 |
| GEO_TailLamp_Ring_R_2 | 672 | 698 | 642 | 56 | 0 | 0 | 0 |
| GEO_Wheel_FL_BrakeCaliper | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Wheel_FL_BrakeDisc | 64 | 62 | 62 | 0 | 0 | 0 | 0 |
| GEO_Wheel_FL_CenterCap | 480 | 498 | 458 | 40 | 0 | 0 | 0 |
| GEO_Wheel_FL_Hub | 576 | 598 | 550 | 48 | 0 | 0 | 0 |
| GEO_Wheel_FL_Rim_Barrel | 176 | 176 | 176 | 0 | 0 | 0 | 0 |
| GEO_Wheel_FL_Rim_Dish | 176 | 176 | 176 | 0 | 0 | 0 | 0 |
| GEO_Wheel_FL_Spoke_1 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Wheel_FL_Spoke_2 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Wheel_FL_Spoke_3 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Wheel_FL_Spoke_4 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Wheel_FL_Spoke_5 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Wheel_FL_Spoke_6 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Wheel_FL_Tire | 720 | 720 | 720 | 0 | 0 | 0 | 0 |
